"","Site","Zone","Replicate","Date","Plot","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max","qaqc_flag","Notes"
"65","GWI","TR","4","202509","GWI_TR_4_202509",2025-09-17 11:17:34.5,NA,NA,NA,NA,NA,3140.40046561276,0.061438980774658,0.0378659990513235,137720.303664955,6.65391911521886,0.105782549817995,0.0090582603651218,53.9825271027778,3123.79894797309,0.0770121903222349,52.2805756025865,3146.81474622974,TRUE,0.105391192046379,0.0309607883609283,43.3640820857449,2025-09-17 11:15:10,2025-09-17 11:19:59,"low r squared, but checked and flux is okay","wobbly but low flux"
"66","GWI","TR","4","202511","GWI_TR_4_202511",2025-11-06 15:12:34.5,NA,NA,NA,NA,NA,1164.7027809191,0.127323709492474,0.00125568126801711,34431.2327835753,0.220651819606204,2.32298448384553e-227,0.972751984456507,1.7901243802206,1155.3365956806,0.973979351382134,1.75544834458288,1164.729950302,TRUE,0.12717460610283,0.00130410716535306,1.97496258279025,2025-11-06 15:10:10,2025-11-06 15:14:59,NA,""
"67","GWI","TR","5","202505","GWI_TR_5_202505",2025-05-20 13:51:34.5,NA,NA,NA,NA,NA,2172.11390691061,1.98696780616615,0.00713201642363501,100651.306589143,1.25325784609455,0,0.99630319096258,10.1675455430213,2013.68124809403,0.997888586964073,7.71085336567374,2172.25458397579,TRUE,1.98450506654728,0.00761232475347093,11.3933169945772,2025-05-20 13:49:10,2025-05-20 13:53:59,NA,""
"68","GWI","TR","5","202507","GWI_TR_5_202507",2025-07-23 10:52:34.5,NA,NA,NA,NA,NA,2345.14164425421,3.41762708446517,0.00961109045955592,128271.012230082,1.6888876598834,0,0.997727518154061,13.7017631706219,2197.50269581716,0.998652865649745,10.5863178127763,2345.21706869289,TRUE,3.41723904478562,0.0103641668669167,14.0491813246481,2025-07-23 10:50:10,2025-07-23 10:54:59,NA,"Veg scores in survey"
"69","GWI","TR","5","202509","GWI_TR_5_202509",2025-09-17 11:29:34.5,NA,NA,NA,NA,NA,2499.16221173059,0.726248001282076,0.0125343188517886,139061.914828773,2.2025655177121,9.0244108826616e-161,0.92099051660488,17.8691761496753,2502.7007426347,0.921116142263508,17.9172856199007,2501.66903830331,TRUE,0.728871207728277,0.0114759073565645,14.598527668362,2025-09-17 11:27:10,2025-09-17 11:31:59,NA,""
"70","GWI","TR","5","202511","GWI_TR_5_202511",2025-11-06 15:20:34.5,NA,NA,NA,NA,NA,1128.70905955784,0.211742955347539,0.00118012472029945,34449.2210291883,0.207374812007459,1.417675473424e-297,0.991133291588755,1.6824094516,1131.35712370008,0.991174530633963,1.68435108030568,1128.89846485012,TRUE,0.211358037031661,0.00121389909564271,1.71824943535936,2025-11-06 15:18:10,2025-11-06 15:22:59,NA,""
"71","GWI","W","1","202503","GWI_W_1_202503",2025-03-19 10:36:34.5,NA,NA,NA,NA,NA,1282.85114224614,0.0241839385748902,0.00153938400490849,35379.7789352364,0.270504856930871,1.34901788584271e-40,0.461489492305449,2.19457668749006,1274.93186070931,0.483174114898073,2.15744148965914,1282.91385050472,TRUE,0.0245580846826209,0.00163397806765228,2.29724772317465,2025-03-19 10:34:10,2025-03-19 10:38:59,"low r squared, but checked and flux is okay",""
"72","GWI","W","1","202505","GWI_W_1_202505",2025-05-20 11:44:34.5,NA,NA,NA,NA,NA,1259.90962340537,0.0911463302684807,0.00147968317921749,33486.0086220758,0.260014061092598,7.38947460211233e-168,0.929452929154658,2.10946599394796,1262.96528521479,0.929682280677966,2.11338514783595,1260.14212901572,TRUE,0.0906419110978804,0.00152246316561313,2.09696345116638,2025-05-20 11:42:10,2025-05-20 11:46:59,NA,""
"73","GWI","W","1","202507","GWI_W_1_202507",2025-07-23 13:57:34.5,2508.90149295415,0.695146782889527,1.84427462352307e-136,0.883469596797856,18.1717663453001,1367.34045564578,0.632958913527588,0.00178078373790312,31265.5239447541,0.312924292256071,0,0.997725557788411,2.53872098462912,1233.859399008,0.998584246028087,2.00994716359819,1367.45343820285,TRUE,0.63246214687376,0.00190457155025599,2.72023254217954,2025-07-23 13:55:10,2025-07-23 13:59:59,NA,"Veg scores in survey"
"74","GWI","W","1","202509","GWI_W_1_202509",2025-09-17 13:08:34.5,2320.23137883748,0.440666002399863,5.06764407390458e-131,0.87288642991611,13.1257478993461,1277.63087798309,0.437483199199388,0.00152559101220242,34619.3164892152,0.268081113727937,0,0.996509982332213,2.17491312066922,1273.16975253511,0.996610337008355,2.15089687551166,1277.6445542205,TRUE,0.437513517211597,0.00154871422197761,2.26061673543755,2025-09-17 13:06:10,2025-09-17 13:10:59,NA,""
"75","GWI","W","1","202511","GWI_W_1_202511",2025-11-06 11:46:34.5,NA,NA,NA,NA,NA,2055.10686537447,1.78645169315147,0.00582907149448398,104526.645743598,1.02430072394376,0,0.996943115173851,8.31004114029875,1903.81183817726,0.998210571539664,6.38019618777718,2055.92256537453,TRUE,1.79076106266274,0.00616556113470191,8.15124765109847,2025-11-06 11:44:10,2025-11-06 11:48:59,NA,"one shrub stem"
"76","GWI","W","2","202503","GWI_W_2_202503",2025-03-19 10:18:34.5,NA,NA,NA,NA,NA,1284.20485491811,0.00823439078982646,0.00154298110388541,35345.8202748703,0.27113694921,1.9203800554431e-07,0.0899902183911586,2.19970478387937,1287.95000692453,0.0907895711336834,2.20641296423359,1284.25757631143,TRUE,0.00848830939384876,0.00161872267334183,2.27060336390755,2025-03-19 10:16:10,2025-03-19 10:20:59,"low r squared, but checked and flux is okay",""
"77","GWI","W","2","202505","GWI_W_2_202505",2025-05-20 11:53:34.5,NA,NA,NA,NA,NA,1265.78677151329,0.110297718416915,0.0014947530522291,33473.3842870107,0.262662181269222,4.25605996648083e-189,0.949764112049676,2.13094990692176,1266.81782173951,0.950275791212583,2.12746962009451,1265.88035681615,TRUE,0.110246987153155,0.00151263650381334,1.98358377278045,2025-05-20 11:51:10,2025-05-20 11:55:59,NA,""
"78","GWI","W","2","202507","GWI_W_2_202507",2025-07-23 14:04:34.5,2218.61811903641,0.416562420747956,1.19372578815807e-136,0.88382093083791,11.016349793474,1333.43393233953,0.383681611816722,0.00167966445894789,31440.7109891769,0.295155330126078,0,0.994510849893227,2.39456331406521,1280.77100993535,0.995485095439055,2.17927123004015,1333.54326789766,TRUE,0.383469033724774,0.0016404980446672,2.45739289242151,2025-07-23 14:02:10,2025-07-23 14:06:59,NA,"Veg scores in survey"
"79","GWI","W","2","202509","GWI_W_2_202509",2025-09-17 13:16:34.5,2132.16525971875,0.338726329464098,3.62525782020499e-133,0.877171212530638,9.49080903349248,1231.00072530455,0.321476849267578,0.00140773927840746,34719.5613955954,0.247371877898792,0,0.994507807698607,2.00690132715828,1212.65964882488,0.994915029097024,1.9378074267693,1231.5484111686,TRUE,0.322514417694017,0.00140793326117067,1.89108890845339,2025-09-17 13:14:10,2025-09-17 13:18:59,NA,""
