[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/26/2026 9:15:29 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 3:51:09 PM	1	5	NPOC	0.9021	-0.1083	NPOC:-0.04410mg/L TN:0.05648mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:34:04 PM	1	1	TN	0.7676	0.05512	NPOC:-0.04410mg/L TN:0.05648mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:39:25 PM	1	2	TN	2.870	0.2314	NPOC:-0.04410mg/L TN:0.05648mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:43:14 PM	1	3	TN	0.000	-0.00924	NPOC:-0.04410mg/L TN:0.05648mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:47:16 PM	1	4	TN	0.7763	0.05585	NPOC:-0.04410mg/L TN:0.05648mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:51:09 PM	1	5	TN	0.8075	0.05846	NPOC:-0.04410mg/L TN:0.05648mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 4:00:07 PM	1	1	NPOC	0.8257	-0.1270	NPOC:-0.1085mg/L TN:-0.00687mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 4:03:56 PM	1	2	NPOC	1.369	0.00611	NPOC:-0.1085mg/L TN:-0.00687mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 4:07:45 PM	1	3	NPOC	1.061	-0.06938	NPOC:-0.1085mg/L TN:-0.00687mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 4:11:34 PM	1	4	NPOC	1.005	-0.08311	NPOC:-0.1085mg/L TN:-0.00687mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 4:15:23 PM	1	5	NPOC	0.8730	-0.1155	NPOC:-0.1085mg/L TN:-0.00687mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 4:00:07 PM	1	1	TN	0.6284	0.04345	NPOC:-0.1085mg/L TN:-0.00687mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 4:03:56 PM	1	2	TN	0.08500	-0.00212	NPOC:-0.1085mg/L TN:-0.00687mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 4:07:45 PM	1	3	TN	0.000	-0.00924	NPOC:-0.1085mg/L TN:-0.00687mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 4:11:34 PM	1	4	TN	0.6501	0.04527	NPOC:-0.1085mg/L TN:-0.00687mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 4:15:23 PM	1	5	TN	0.000	-0.00924	NPOC:-0.1085mg/L TN:-0.00687mg/L	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 4:26:15 PM	1	1	NPOC	1.218	0.000	 	1	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 4:30:04 PM	1	2	NPOC	1.472	0.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 4:33:53 PM	1	3	NPOC	1.446	0.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 4:37:57 PM	1	4	NPOC	1.491	0.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 4:49:25 PM	2	1	NPOC	2.867	0.5000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 4:53:18 PM	2	2	NPOC	2.875	0.5000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 4:57:11 PM	2	3	NPOC	3.193	0.5000	 	1	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:01:03 PM	2	4	NPOC	3.093	0.5000	 	0	50	
