"","Site","Date","Zone","Replicate","Depth","Month","Sample_Name","NH3_mgL","NH3_uM","PO4_mgL","PO4_uM","NOx_mgL","NOx_uM","NH3_range","PO4_range","NOx_range"
"147","MSM","202208","UP","LysB","20cm","August","MSM_202208_UP_LysB_20cm",0.289288,20.6535443751919,0.0169,1.20656542940164,0.004184,0.29871418678204,"Within_Range","Within_Range","bdl"
"148","MSM","202208","UP","LysB","45cm","August","MSM_202208_UP_LysB_45cm",0.495821,35.3988448385416,0.06044,4.31507778420327,0.003101,0.221394047134586,"Within_Range","Within_Range","bdl"
"149","MSM","202208","UP","LysC","10cm","August","MSM_202208_UP_LysC_10cm",0.566208,40.4240827603932,0.025075,1.79021468297315,0.00413,0.294858888960283,"Within_Range","Within_Range","bdl"
"150","MSM","202208","UP","LysC","20cm","August","MSM_202208_UP_LysC_20cm",1.421854,101.512419056594,0.040336,2.87976468404406,0.003488,0.249023681523842,"Within_Range","Within_Range","bdl"
"151","MSM","202208","WC","SipA","10cm","August","MSM_202208_WC_SipA_10cm",0.283508,20.2408847194557,0.043291,3.09073514817909,0.005772,0.412088500503331,"Within_Range","Within_Range","bdl"
"152","MSM","202208","WC","SipA","20cm","August","MSM_202208_WC_SipA_20cm",0.597028,42.6244582949588,0.086712,6.19075156889203,0.004169,0.297643270720441,"Within_Range","Within_Range","bdl"
"153","MSM","202208","WC","SipA","45cm","August","MSM_202208_WC_SipA_45cm",0.101582,7.25238635795726,0.019266,1.37548458951787,0.004854,0.346548437533466,"Within_Range","Within_Range","bdl"
"154","MSM","202208","WC","SipB","10cm","August","MSM_202208_WC_SipB_10cm",0.414624,29.6018334082975,0.741276,52.9229582985286,0.004112,0.293573789686364,"Within_Range","Within_Range","bdl"
"155","MSM","202208","WC","SipB","20cm","August","MSM_202208_WC_SipB_20cm",0.642327,45.858553406584,0.090251,6.44341636502531,0.004917,0.351046284992182,"Within_Range","Within_Range","bdl"
"156","MSM","202208","WC","SipB","45cm","August","MSM_202208_WC_SipB_45cm",0.185289,13.2285977425089,0.020134,1.43745493228241,0.003703,0.264373478406762,"Within_Range","Within_Range","bdl"
"157","MSM","202208","WC","SipC","10cm","August","MSM_202208_WC_SipC_10cm",0.960027,68.5405555912528,0.124046,8.85619025180806,0.004218,0.301141596521665,"Within_Range","Within_Range","bdl"
"158","MSM","202208","WC","SipC","20cm","August","MSM_202208_WC_SipC_20cm",0.94649,67.5740895428616,0.079586,5.68199504522836,0.003968,0.283292995495013,"Within_Range","Within_Range","bdl"
"159","MSM","202208","WC","SipC","45cm","August","MSM_202208_WC_SipC_45cm",1.011305,72.2015178450313,0.022381,1.59787815830995,0.00746,0.532602254635282,"Within_Range","Within_Range","bdl"
