[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	cp	
Date/Time	12/16/2025 1:14:12 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	IC	202511_GCW_WC_LysC_10cm	Untitled			31.25				mg/L	4	11/22/2025 8:10:31 AM	
Unknown	IC	DI	Untitled			4.191				mg/L	0	11/22/2025 8:27:35 AM	
Unknown	IC	Chk_Std_1mgL	Untitled			5.924				mg/L	5	11/22/2025 8:47:02 AM	
Unknown	IC	DI	Untitled			4.140				mg/L	0	11/22/2025 9:03:50 AM	
Unknown	IC	202511_GCW_WC_LysC_20cm	Untitled			34.48				mg/L	6	11/22/2025 9:29:51 AM	
Unknown	IC	202511_GCW_SW_A	Untitled			3.947				mg/L	7	11/22/2025 9:44:20 AM	
Unknown	IC	202511_GCW_SW_B	Untitled			3.947				mg/L	8	11/22/2025 9:58:49 AM	
Unknown	IC	202511_GCW_SW_C	Untitled			46.70				mg/L	9	11/22/2025 10:14:04 AM	
Unknown	IC	202511_MSM_UP_LysB_10cm	Untitled			24.85				mg/L	10	11/22/2025 10:32:14 AM	
Unknown	IC	202511_MSM_UP_LysB_20cm	Untitled			23.58				mg/L	11	11/22/2025 10:54:28 AM	
Unknown	IC	202511_MSM_UP_LysC_10cm	Untitled			32.23				mg/L	12	11/22/2025 11:17:25 AM	
Unknown	IC	202511_MSM_UP_LysC_20cm	Untitled			3.950				mg/L	13	11/22/2025 11:41:05 AM	
Unknown	IC	202511_MSM_TR_LysA_10cm	Untitled			52.84				mg/L	14	11/22/2025 11:56:20 AM	
Unknown	IC	202511_MSM_TR_LysA_20cm	Untitled			48.78				mg/L	15	11/22/2025 12:20:15 PM	
Unknown	IC	DI	Untitled			4.352				mg/L	0	11/22/2025 12:37:32 PM	
Unknown	IC	Chk_Std_crm221	Untitled			30.31				mg/L	16	11/22/2025 1:00:22 PM	
Unknown	IC	DI	Untitled			4.262				mg/L	0	11/22/2025 1:18:48 PM	
Unknown	IC	202511_MSM_TR_LysB_10cm	Untitled			31.41				mg/L	17	11/22/2025 1:33:34 PM	
Unknown	IC	202511_MSM_TR_LysB_20cm	Untitled			89.34				mg/L	18	11/22/2025 1:58:27 PM	
Unknown	IC	202511_MSM_TR_LysC_20cm	Untitled			53.73				mg/L	19	11/22/2025 2:14:54 PM	
Unknown	IC	202511_MSM_WC_LysA_10cm	Untitled			80.51				mg/L	20	11/22/2025 2:31:44 PM	
Unknown	IC	202511_MSM_WC_LysA_20cm	Untitled			110.7				mg/L	21	11/22/2025 2:48:48 PM	
Unknown	IC	202511_MSM_WC_LysB_10cm	Untitled			105.8				mg/L	22	11/22/2025 3:15:06 PM	
Unknown	IC	202511_MSM_WC_LysB_20cm	Untitled			113.4				mg/L	23	11/22/2025 3:41:48 PM	
Unknown	IC	202511_MSM_WC_LysC_10cm	Untitled			126.6				mg/L	24	11/22/2025 3:58:51 PM	
Unknown	IC	202511_MSM_WC_LysC_20cm	Untitled			162.6				mg/L	25	11/22/2025 4:28:09 PM	
Unknown	IC	202511_MSM_SW_A	Untitled			27.36				mg/L	26	11/22/2025 4:51:04 PM	
Unknown	IC	202511_MSM_SW_B	Untitled			14.38				mg/L	27	11/22/2025 5:13:59 PM	
Unknown	IC	202511_MSM_SW_C	Untitled			3.947				mg/L	28	11/22/2025 5:27:44 PM	
Unknown	IC	DI	Untitled			4.188				mg/L	0	11/22/2025 5:42:40 PM	
Unknown	IC	Chk_Std_crm221	Untitled			32.17				mg/L	29	11/22/2025 6:01:31 PM	
Unknown	IC	Chk_Std_100mgL	Untitled			103.0				mg/L	30	11/22/2025 6:29:51 PM	
Unknown	IC	DI	Untitled			3.947				mg/L	0	11/22/2025 6:40:09 PM	
Standard	IC	CalCurve_IC	Untitled			200.0				mg/L	31, 32, 33, 34, 35, 36, 37, 38	11/22/2025 9:08:13 PM	
Unknown	IC	DI	Untitled			19.43				mg/L	0	11/22/2025 9:24:49 PM	
Unknown	IC	DI	Untitled			19.41				mg/L	0	11/22/2025 9:41:00 PM	
Unknown	IC	DI	Untitled			19.41				mg/L	0	11/22/2025 9:54:40 PM	
Unknown	IC	DI	Untitled			19.40				mg/L	0	11/22/2025 10:05:38 PM	
